ZIP,INCOME
02777,77632
02779,95186
02780,51820
02783,80709
02790,79778
02791,90781
02801,73125
02802,48404
02804,74289
02806,116935
02807,73952
02808,72589
02809,62909
02812,106705
02813,73203
02814,89750
02815,230052
02816,64407
02817,86650
02818,90739
02822,80962
02823,88163
02824,81712
02825,79364
02826,67725
02827,86708
02828,75063
02829,89750
02830,67019
02831,88163
02832,76420
02833,84750
02835,101448
02836,78866
02837,73125
02838,59960
02839,56111
02840,59788
02841,
02842,63725
02852,80102
02857,80707
02858,92036
02859,69050
02860,38592
02861,55198
02862,38592
02863,28901
02864,78232
02865,73306
02871,86080
02872,
02873,73871
02874,129056
02875,98384
02876,
02877,80962
02878,72365
02879,72947
02880,72947
02881,66346
02882,67120
02883,72947
02885,51909
02886,67241
02887,67868
02888,62351
02889,67868
02891,60557
02892,87260
02893,51332
02894,97813
02895,37235
02896,81712
02898,81332
02901,29560
02902,29560
02903,29560
02904,37287
02905,40251
02906,72066
02907,33361
02908,42484
02909,31686
02910,60620
02911,57819
02912,
02914,47998
02915,55580
02916,65112
02917,77353
02918,42484
02919,58295
02920,51675
02921,99675
02940,37287
03031,120176
03032,110247
03033,116791
03034,93681
03036,117824
03037,91440
03038,67473
03040,93681
03041,67473
03042,71977
03043,89135
03044,87965
03045,81966
03046,88333
03047,67222
03048,66625
03049,120461
03051,89029
03052,91250
03053,95809
03054,93798
03055,71440
03057,98750
03060,47642
03061,47642
03062,87996
03063,75514
03064,65699
03070,102458
03071,90309
03073,79669
03076,94167
03077,62787
03079,79669
03082,85234
03084,78906
03086,71625
03087,110268
03101,30215
03102,50803
03103,51544
03104,61317
03105,30215
03106,84159
03108,51544
03109,78284
03110,126030
03111,51544
03215,88500
03216,69830
03217,44000
03218,105875
03220,61587
03221,61020
03222,54688
03223,61150
03224,82847
03225,67879
03226,70625
03227,66667
03229,90701
03230,60980
03231,
03233,123750
03234,69583
03235,44597
03237,72692
03238,21944
03240,50682
03241,57000
03242,65776
03243,67917
03244,61475
03245,62206
03246,49016
03247,49016
03249,63125
03251,35087
03252,58642
03253,62500
03254,70262
03255,91618
03256,74728
03257,72105
03258,79559
03259,51625
03260,88906
03261,81683
03262,59375
03263,49109
03264,44115
03266,48466
03268,67125
03269,72610
03272,91618
03273,62188
03275,65625
03276,58642
03278,72943
03279,45000
03280,69583
03281,90421
03282,62609
03284,73350
03285,60417
03287,60583
03289,61587
03290,91442
03291,
03293,52750
03298,62500
03299,62500
03301,56685
03302,56685
03303,60422
03304,100978
03305,56685
03307,72527
03431,54273
03435,54273
03440,66780
03441,69531
03442,59205
03443,79273
03444,70652
03445,56250
03446,56985
03447,52734
03448,58333
03449,80625
03450,61500
03451,47941
03452,62800
03455,50556
03456,60208
03457,62969
03458,68698
03461,67466
03462,69432
03464,71750
03465,57639
03466,75525
03467,90000
03468,68698
03469,56985
03470,48398
03561,39568
03570,38863
03574,51029
03575,92000
03576,47104
03579,34917
03580,67708
03581,54306
03582,36484
03583,57143
03584,52067
03585,52607
03586,78750
03588,52065
03589,71250
03590,32500
03592,43073
03593,71250
03595,56500
03597,29559
03598,43958
03601,51250
03602,59891
03603,50480
03604,101118
03605,60441
03607,58750
03608,69375
03609,51094
03740,54375
03741,60932
03743,48008
03745,75625
03746,101667
03748,76801
03749,76801
03750,175714
03751,40781
03752,51029
03753,93611
03754,
03755,97163
03756,61366
03765,60045
03766,61366
03768,121471
03769,121471
03770,94000
03771,61563
03773,54812
03774,56708
03777,76094
03779,70000
03780,51125
03781,83125
03782,68333
03784,51220
03785,42500
03801,70324
03802,70324
03803,70324
03804,67599
03809,74395
03810,82212
03811,104889
03812,33333
03813,58750
03814,38646
03815,89333
03816,54036
03817,21802
03818,43307
03819,93500
03820,63092
03821,63092
03822,63092
03823,100500
03824,67241
03825,79420
03826,73125
03827,95294
03830,49386
03832,66818
03833,81563
03835,52305
03836,54875
03837,65586
03838,70089
03839,52868
03840,104111
03841,97984
03842,77201
03843,77201
03844,123864
03845,69688
03846,79306
03847,88243
03848,81607
03849,53894
03850,64286
03851,65313
03852,67143
03853,62717
03854,114028
03855,79853
03856,109875
03857,64431
03858,92115
03859,92115
03860,56199
03861,105769
03862,96184
03864,47857
03865,81216
03866,47878
03867,47878
03868,58016
03869,65903
03870,100585
03871,
03872,57404
03873,95577
03874,56184
03875,74479
03878,60976
03882,45375
03883,30074
03884,89333
03885,103583
03886,51836
03887,73646
03890,55673
03894,51123
03896,51123
03897,51836
03901,65000
03902,71080
03903,74921
03904,67599
03905,70903
03906,72344
03907,65859
03908,77460
03909,83037
03910,56795
03911,
04001,60625
04002,61349
04003,80179
04004,67633
04005,48451
04006,42708
04007,48451
04008,57875
04009,48171
04010,52500
04011,58502
04013,75147
04014,69089
04015,44317
04016,55347
04017,51875
04019,
04020,37266
04021,116250
04022,54615
04024,65250
04027,64750
04028,39258
04029,53113
04030,63983
04032,75147
04033,75147
04034,75147
04037,44801
04038,75026
04039,61274
04040,47339
04041,42097
04042,58333
04043,68617
04046,69089
04047,39258
04048,54938
04049,61845
04050,49500
04051,55347
04054,62524
04055,58102
04056,55000
04057,
04061,69557
04062,68364
04063,40625
04064,43991
04066,77969
04068,40329
04069,81833
04070,84029
04071,67032
04072,59740
04073,41376
04074,84029
04076,55000
04077,44317
04078,75147
04079,70234
04082,68364
04083,55679
04084,62083
04085,61486
04086,69132
04087,53017
04088,48315
04090,62524
04091,50156
04092,48074
04093,67633
04094,68617
04095,40052
04096,77143
04097,96346
04098,48074
04101,35162
04102,48307
04103,59017
04104,35162
04105,103211
04106,56310
04107,106088
04108,53438
04109,62788
04110,157607
04112,35162
04116,35162
04122,48307
04123,48307
04124,48307
04210,46976
04211,46976
04212,46976
04216,41250
04217,50208
04219,45769
04220,41065
04221,53750
04222,71118
04223,46976
04224,36136
04225,42206
04226,49000
04227,36319
04228,
04230,62022
04231,42500
04234,29417
04236,63889
04237,70313
04238,52292
04239,56804
04240,38199
04241,38199
04243,38199
04250,51786
04252,56081
04253,51250
04254,32837
04255,63333
04256,52444
04257,39408
04258,64375
04259,63448
04260,62169
04261,45625
04262,56804
04263,52969
04265,60625
04266,58408
04267,82917
04268,37691
04270,46875
04271,
04274,62022
04275,48333
04276,29209
04280,64188
04281,35107
04282,58408
04284,62679
04285,45938
04286,87386
04287,50325
04288,64375
04289,41042
04290,48846
04291,62022
04292,44453
04294,42206
04330,45540
04332,45540
04333,45540
04336,45540
04338,45540
04341,53981
04342,62788
04343,
04344,33316
04345,54162
04346,45670
04347,53789
04348,53981
04349,58100
04350,60417
04351,66161
04352,60655
04353,47457
04354,48529
04355,72768
04357,52344
04358,52205
04359,
04360,48750
04363,49536
04364,64848
04401,42351
04402,42351
04406,43125
04408,49750
04410,40100
04411,50438
04412,56128
04413,43958
04414,32159
04415,36786
04416,37031
04417,41500
04418,43542
04419,60159
04420,49643
04421,49643
04422,52667
04424,30809
04426,43250
04427,51818
04428,53468
04429,52337
04430,37837
04431,44833
04434,46750
04435,47273
04438,40643
04441,45034
04442,
04443,33935
04444,76379
04448,37440
04449,50847
04450,43313
04451,25625
04453,38333
04454,
04455,46667
04456,53475
04457,39714
04459,32353
04460,49688
04461,50032
04462,32380
04463,29513
04464,35114
04468,36507
04469,
04471,37500
04472,56028
04473,43547
04474,54867
04475,35625
04476,47174
04478,37115
04479,33698
04481,41250
04485,53750
04487,30096
04488,51528
04489,55526
04490,39688
04491,34167
04492,41250
04493,45096
04495,37150
04496,58179
04497,30208
04530,47212
04535,60139
04537,60000
04538,43977
04539,56086
04541,
04543,49375
04544,63654
04547,53409
04548,59250
04549,60000
04551,57250
04553,63846
04554,45074
04555,54196
04556,58234
04558,84688
04562,62024
04563,50050
04564,55521
04565,62024
04568,52188
04570,
04571,54038
04572,46086
04573,59821
04574,44444
04575,104583
04576,58365
04578,52863
04579,68281
04605,51456
04606,42946
04607,46528
04609,49227
04611,37813
04612,51000
04613,44583
04614,51375
04616,47813
04617,67917
04619,32885
04622,40288
04623,46181
04624,42917
04625,48750
04626,48625
04627,43500
04628,44500
04629,
04630,40917
04631,33836
04634,40523
04635,64750
04637,42500
04640,41147
04642,82917
04643,37750
04644,
04645,36250
04646,88750
04648,35313
04649,36923
04650,
04652,34018
04653,42917
04654,39301
04655,53000
04657,50000
04658,35833
04660,77125
04662,52436
04664,46250
04666,38594
04667,39300
04668,27390
04669,75750
04671,56923
04672,49227
04673,39583
04674,72639
04675,68594
04676,47083
04677,52500
04679,54716
04680,37313
04681,38563
04683,43958
04684,65074
04685,55750
04686,26786
04691,53571
04693,39926
04694,45882
04730,38779
04732,38911
04733,50625
04734,46307
04735,37232
04736,36115
04737,45034
04738,46635
04739,31513
04740,36875
04741,
04742,35208
04743,39344
04744,39344
04745,42500
04746,31042
04747,37944
04750,38056
04751,38056
04756,38621
04757,51036
04758,38967
04760,36513
04761,47500
04762,42500
04763,36000
04764,39688
04765,32813
04766,46563
04768,45750
04769,36789
04772,31848
04773,51696
04774,26319
04775,38911
04776,40987
04777,30714
04779,36000
04780,45750
04781,38625
04783,37500
04785,29464
04786,46635
04787,41500
04841,40987
04843,54682
04847,57083
04848,59063
04849,53512
04850,53512
04851,
04852,
04853,56838
04854,55300
04855,78214
04856,72679
04858,53229
04859,42102
04860,57614
04861,47969
04862,53698
04863,56563
04864,58617
04865,72679
04901,37189
04903,37189
04910,46111
04911,37188
04912,33750
04915,41218
04917,70595
04918,29958
04920,32875
04921,34699
04922,35114
04923,31172
04924,44712
04925,42250
04926,
04927,48234
04928,36444
04929,37981
04930,31325
04932,49625
04933,
04935,54375
04936,42917
04937,45921
04938,38939
04939,45395
04940,
04941,47115
04942,29338
04943,29853
04944,
04945,36111
